"id","course_name","category","enrolled_students","platform","price","rating","duration"
52,"Foundations of UX Design","Design",450,"Coursera","49.99","4.30","6 weeks"
53,"Advanced Python Programming","Programming",750,"Udemy","69.99","4.70","7 weeks"
54,"Machine Learning with TensorFlow","Artificial Intelligence",550,"Coursera","89.99","4.80","8 weeks"
55,"Digital Painting for Beginners","Design",300,"Skillshare","29.99","4.10","5 weeks"
56,"Advanced Photoshop Techniques","Design",400,"Udemy","59.99","4.40","6 weeks"
57,"Financial Accounting Fundamentals","Finance",500,"Coursera","49.99","4.50","6 weeks"
58,"3D Animation for Beginners","Design",350,"Skillshare","39.99","4.20","5 weeks"
59,"Supply Chain Management","Business",600,"LinkedIn Learning","79.99","4.30","8 weeks"
60,"Principles of Economics","Economics",450,"Coursera","49.99","4.40","6 weeks"
61,"Digital Marketing Analytics","Marketing",500,"edX","69.99","4.50","7 weeks"
62,"Advanced Data Structures","Programming",750,"Udacity","89.99","4.60","8 weeks"
63,"Introduction to Quantum Computing","Computer Science",300,"Coursera","79.99","4.10","6 weeks"
64,"Principles of Machine Learning","Artificial Intelligence",600,"edX","99.99","4.70","9 weeks"
65,"Photography Composition","Photography",350,"Skillshare","39.99","4.30","5 weeks"
66,"Introduction to Deep Learning","Artificial Intelligence",700,"Coursera","89.99","4.60","8 weeks"
67,"Marketing Analytics","Marketing",400,"LinkedIn Learning","59.99","4.40","6 weeks"
68,"Introduction to Sociology","Social Sciences",500,"edX","29.99","4.20","5 weeks"
69,"Advanced JavaScript","Programming",800,"Udemy","79.99","4.60","8 weeks"
70,"Introduction to Philosophy","Humanities",300,"Coursera","19.99","4.10","4 weeks"
71,"Database Management Systems","Databases",450,"Udacity","49.99","4.50","6 weeks"
72,"Data Visualization with Python","Data Science",600,"edX","69.99","4.40","7 weeks"
73,"Introduction to Cryptography","Computer Science",400,"Coursera","59.99","4.30","6 weeks"
74,"Game Development with Unity","Programming",800,"Udemy","79.99","4.60","8 weeks"
75,"Business Analytics","Business",700,"LinkedIn Learning","69.99","4.50","7 weeks"
76,"Introduction to Anthropology","Social Sciences",300,"Skillshare","19.99","4.20","5 weeks"
77,"Python for Web Development","Programming",500,"Coursera","49.99","4.30","6 weeks"
78,"Cloud Architecture","IT & Software",600,"edX","99.99","4.50","8 weeks"
79,"Marketing Strategies for Startups","Marketing",450,"Udemy","39.99","4.40","5 weeks"
80,"Behavioral Economics","Economics",500,"LinkedIn Learning","59.99","4.20","6 weeks"
81,"Intermediate SQL","Databases",700,"Coursera","29.99","4.50","5 weeks"
82,"Introduction to Journalism","Writing",400,"edX","19.99","4.10","4 weeks"
83,"Machine Learning for Business","Artificial Intelligence",600,"Udacity","99.99","4.70","8 weeks"
84,"Nutrition Science","Health & Fitness",350,"Skillshare","29.99","4.20","5 weeks"
85,"Introduction to Arduino","Engineering",400,"Coursera","49.99","4.30","6 weeks"
86,"Leadership Skills for Managers","Business",500,"LinkedIn Learning","69.99","4.50","7 weeks"
87,"Introduction to Data Analytics","Data Science",600,"Udemy","59.99","4.40","7 weeks"
88,"Creative Writing for Beginners","Writing",300,"Skillshare","19.99","4.20","5 weeks"
89,"Intermediate Java Programming","Programming",700,"Coursera","69.99","4.60","7 weeks"
90,"Modern Web Design","Design",450,"edX","39.99","4.30","6 weeks"
